City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,nara,JP,50.0,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
492,gonaives,HT,72.46,overcast clouds,19.45,-72.6833,Vertières Doux Séjour
493,cienfuegos,CU,64.4,overcast clouds,22.1461,-80.4356,Casa Claumar B2BPay
494,tucurui,BR,73.17,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
496,lompoc,US,64.4,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
497,hervey bay,AU,84.99,clear sky,-25.2986,152.8535,Shelly Bay Resort
499,sardulgarh,IN,68.04,clear sky,29.7,75.25,Shri Balaji Pg
502,dilla,ET,75.18,overcast clouds,6.41,38.31,Afomiya Pension
505,savannah bight,HN,75.0,moderate rain,16.45,-85.85,Villa on Dunbar Rock
507,gariaband,IN,78.8,haze,20.635,82.0614,हंसराज ट्रैक्टर
509,palpa,PE,69.78,overcast clouds,-14.5336,-75.1856,Palpa Lines
510,ha tinh,VN,62.89,overcast clouds,18.3333,105.9,Phú Quý
511,koster,ZA,75.96,clear sky,-25.863000000000003,26.8976,Klub Kranskuil
512,marsa matruh,EG,56.77,light rain,31.3525,27.2453,Beau Site
513,libreville,GA,78.8,few clouds,0.3925,9.4537,Hotel Re-Ndama
514,takoradi,GH,77.97,light rain,4.8845,-1.7554,Raybow International Hotel
515,madimba,TZ,82.4,broken clouds,-10.4,40.3333,
516,kawalu,ID,84.43,moderate rain,-7.3817,108.2082,KOSAN UNGU UNSIK
521,camacupa,AO,68.11,few clouds,-12.0167,17.4833,
524,fare,PF,81.23,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
525,bayji,IQ,57.87,clear sky,34.9311,43.486999999999995,قريه جديده
529,namatanai,PG,83.79,overcast clouds,-3.6667,152.4333,Namatanai Hotel
530,dubbo,AU,84.2,overcast clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
533,galle,LK,82.38,broken clouds,6.0367,80.217,Amangalla
535,doha,QA,69.8,haze,25.2867,51.5333,Doha Marriott Hotel
536,arua,UG,79.88,scattered clouds,3.0201,30.9111,Golden Courts Hotel
537,fonte boa,BR,72.59,broken clouds,-2.4959,-66.2662,
539,santa barbara,US,53.6,clear sky,34.7333,-120.0343,Upper Ballard Campground
540,santa ana,US,73.99,clear sky,33.7456,-117.8678,Best Western Plus Orange County Airport North
542,siocon,PH,82.17,overcast clouds,7.7061,122.1353,ABS Hotel
543,cururupu,BR,74.14,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
544,farafangana,MG,86.38,clear sky,-22.8167,47.8333,Miarina
546,santa cruz,BO,75.2,light rain,-17.8,-63.1667,Hotel Cortez
548,bata,GQ,80.78,light rain,1.8639,9.7658,Hotel Carmen
551,yulara,AU,89.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
553,zaria,NG,64.04,clear sky,11.1113,7.7227,A.B.U Hotels
557,pondicherry,IN,80.91,few clouds,11.93,79.83,Villa Shanti
559,chake chake,TZ,85.55,clear sky,-5.2459,39.7666,Hotel Archipelago
561,makakilo city,US,77.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
562,inirida,CO,71.89,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
563,port blair,IN,81.52,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
564,buala,SB,84.11,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
565,xique-xique,BR,72.46,overcast clouds,-10.8218,-42.7263,Hotel J. Macedo
567,arcos,BR,65.66,overcast clouds,-20.2819,-45.5394,Hotel Real Palace
568,muisne,EC,74.53,moderate rain,0.6,-80.0333,Quinta Samay
570,hualmay,PE,69.87,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
